PopularName,SchoolId,Classification,ProperName,NickName,matches
vandercook lake middle school,5283,,vandercook lake middle school,,"academy for business and technology high school, actech high school"
armstrong middle school,5284,,armstrong middle school,,"academy for business and technology high school, academy of the americas high school"
st francis de sales,5285,,st francis de sales jh academy,,"st charles community middlehigh school, st clair county intervention academy"
hilbert middle school,5286,,hilbert middle school,Panthers,"hart middle school, academy for business and technology high school"
ontonagon area jhs,5287,,ontonagon area jhs,,"allegan county area technical and education center, battle creek area learning center"
baptist park school 7th/8th,5288,,baptist park school 7th/8th,,"academy for business and technology high school, actech high school"
madison middle school,5289,,madison middle school,,"academy for business and technology high school, academy of the americas high school"
kraft meadows middle school,5290,,kraft meadows middle school,,"academy for business and technology high school, actech high school"
dexter mill creek middle school,5292,,mill creek middle school,,"academy for business and technology high school, actech high school"
boyne city middle school,5293,,boyne city middle school,,"academy for business and technology high school, alba school"
ferris middle school,5294,,ferris middle school,,"academy for business and technology high school, academy of the americas high school"
henry ford academy 7/8,5295,,henry ford academy,,"henry ford academy, academic and career education academy"
perry middle school,5296,,perry middle school,,"academy for business and technology high school, academy of the americas high school"
university liggett middle sch,5297,,university liggett middle sch,,"ca frost environmental science academy middle high school, hart middle school"
detroit world outreach christian academy,5298,,detroit world outreach christian academy,,"54th street academy, academy 21"
lakewood middle school,5299,,lakewood middle school,,"academy for business and technology high school, academy of the americas high school"
