MHSAA_PopularName,SchoolId,Classification,MHSAA_Proper,NickName,NCES_Name,NCES_School_ID
new lothrop jhs,5311,,New Lothrop JHS,,"new beginnings alternative high school, new buffalo senior high school",
discovery middle school,5312,,Discovery Middle School,,"academy for business and technology high school, academy of the americas high school",
sacred heart academy 7/8,5313,,Sacred Heart Academy 7/8,,"sacred heart academy, academic and career education academy",
shepherd middle school,5314,,Shepherd Middle School,,"academy for business and technology high school, academy of the americas high school",
allendale christian jhs,5315,,Allendale Christian JHS,,"detroit christian schools of excellence, grandville calvin christian high school",
torrey hill middle school,5316,,Torrey Hill Middle School,,"academy for business and technology high school, alba school",
dolan middle school,5317,,Dolan Middle School,,"academy for business and technology high school, academy of the americas high school",
harper woods middle school,5318,,Harper Woods Middle School,,"academy for business and technology high school, alba school",
parchment middle school,5319,,Parchment Middle School,,"academy for business and technology high school, academy of the americas high school",
hudsonville christian middle,5320,,Hudsonville Christian Middle,,"ca frost environmental science academy middle high school, hart middle school",
tawas area jhs,5321,,Tawas Area JHS,,"allegan county area technical and education center, battle creek area learning center",
dickinson area cath jhs,5322,,Dickinson Area Cath JHS,,"allegan county area technical and education center, dollar baytamarack city area k12 school",
holy spirit central school,5323,,Holy Spirit Central School,,"academy for business and technology high school, alba school",
marcellus middle school,5324,,Marcellus Middle School,,"academy for business and technology high school, academy of the americas high school",
flint longfellow middle school,5325,,Longfellow Middle School,,"academy for business and technology high school, actech high school",
holmes stem academy,5327,,Holmes STEM Academy,,"academic and career education academy, academy 21",
christa mc auliffe middle school,5328,,Christa Mc Auliffe Middle School,,"actech high school, addison high school",
tri-unity christian middle school,5329,,Tri-unity Christian Middle School,,"tri-unity christian school, actech high school",
emerson middle school,5330,,Emerson Middle School,,"academy for business and technology high school, academy of the americas high school",
lafayette allen jhs,5331,,Lafayette Allen JHS,,,
muskegon heights middle school,5332,,Muskegon Heights Middle School,,"academy for business and technology high school, actech high school",
mattawan middle school,5333,,Mattawan Middle School,,"academy for business and technology high school, academy of the americas high school",
hartland middle school,5334,,Hartland Middle School,,"hart middle school, academy for business and technology high school",
ewen-trout creek jhs,5335,,Ewen-Trout Creek JHS,,"battle creek area learning center, battle creek central high school",
flint st marys jhs,5336,,St Marys JHS,,"flint cultural center academy, international academy of flint k12",
whittier middle school,5337,,Whittier Classical Academy,,"academy for business and technology high school, academy of the americas high school",
resurrection jhs,5338,,Resurrection JHS,,,
avondale middle school,5339,,Avondale Middle School,,"academy for business and technology high school, academy of the americas high school",
calvary christian middle school,5341,,Calvary Christian Middle School,,"academy for business and technology high school, actech high school",
eaton rapids middle school,5342,,Eaton Rapids Middle School,Greyhounds,"academy for business and technology high school, alba school",
st therese jhs,5343,,St Therese JHS,,"link learning st louis, st charles community middlehigh school",
peck jhs,5344,,Peck JHS,,peck jrsr high school,
holland woods middle school,5345,,Holland Woods Middle School,,"academy for business and technology high school, actech high school",
ss peter & paul catholic school,5346,,SS Peter & Paul Catholic School,,"academy for business and technology high school, actech high school",
